FECHA,DEPARTAMENTO,MUNICIPIO,DIA,HORA,BARRIO,ZONA,CLASE DE SITIO,ARMA EMPLEADA,EDAD,SEXO,ESTADO CIVIL,CLASE DE EMPLEADO,ESCOLARIDAD
09/01/2010 00:00:00,SANTANDER,SABANA DE TORRES,Miércoles,08:00:00 PM,AEROPUERTO,URBANA,VIAS PUBLICAS,CONTUNDENTES,25,FEMENINO,UNION LIBRE,INDEPENDIENTE,PRIMARIA
02/03/2010 00:00:00,RISARALDA,DOSQUEBRADAS,Miércoles,12:00:00 PM,CERRO AZUL,URBANA,CASAS DE HABITACION,CONTUNDENTES,18,FEMENINO,SOLTERO,EMPLEADO PARTICULAR,SECUNDARIA
,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,10:00:00 PM,GRAN COLOMBIANO E-8,URBANA,CASAS DE HABITACION,CONTUNDENTES,23,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,SECUNDARIA
08/07/2010 00:00:00,SANTANDER,BUCARAMANGA (CT),Sábado,07:00:00 PM,SAN RAFAEL,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,17,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,PRIMARIA
,MAGDALENA,SANTA MARTA (CT),Miércoles,11:20:00 AM,20 DE JULIO,URBANA,VIAS PUBLICAS,CONTUNDENTES,35,FEMENINO,SOLTERO,EMPLEADO PARTICULAR,SECUNDARIA
,CUNDINAMARCA,FUSAGASUGÁ,Jueves,09:30:00 AM,-,URBANA,VIAS PUBLICAS,CONTUNDENTES,49,FEMENINO,UNION LIBRE,AMA DE CASA,SECUNDARIA
05/09/2010 00:00:00,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,12:00:00 PM,GRAN BRITALIA E-8,URBANA,CASAS DE HABITACION,CONTUNDENTES,32,FEMENINO,UNION LIBRE,AMA DE CASA,PRIMARIA
,BOYACÁ,SOGAMOSO,Domingo,09:00:00 PM,SAN MARTIN,URBANA,CASAS DE HABITACION,CONTUNDENTES,39,FEMENINO,CASADO,EMPLEADO PARTICULAR,SECUNDARIA
,MAGDALENA,CIÉNAGA,Lunes,10:00:00 AM,-,URBANA,CASAS DE HABITACION,CONTUNDENTES,22,FEMENINO,UNION LIBRE,AMA DE CASA,NO REPORTADO
,BOYACÁ,TUNJA (CT),Jueves,04:00:00 PM,BARRIO LOS CRISTALES,URBANA,APARTAMENTO,NO REPORTADO,72,MASCULINO,UNION LIBRE,EDUCADOR,SUPERIOR
04/06/2010 00:00:00,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,07:00:00 PM,EL SOCORRO E-18,URBANA,CASAS DE HABITACION,NO REPORTADO,34,FEMENINO,UNION LIBRE,INDEPENDIENTE,SECUNDARIA
,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,11:30:00 AM,SIERRA MORENA E-19,URBANA,CASAS DE HABITACION,CONTUNDENTES,38,FEMENINO,UNION LIBRE,INDEPENDIENTE,SECUNDARIA
07/03/2010 00:00:00,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,06:00:00 AM,URB. RINCONCITO E-11,URBANA,CASAS DE HABITACION,CONTUNDENTES,28,FEMENINO,UNION LIBRE,INDEPENDIENTE,SECUNDARIA
11/05/2010 00:00:00,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,08:30:00 PM,LA ALAMEDA E-19,URBANA,TIENDA,CONTUNDENTES,28,MASCULINO,SOLTERO,INDEPENDIENTE,SECUNDARIA
12/04/2010 00:00:00,CAQUETÁ,FLORENCIA (CT),Sábado,08:00:00 PM,LOS ALPES,URBANA,VIAS PUBLICAS,CONTUNDENTES,29,MASCULINO,SOLTERO,INDEPENDIENTE,SECUNDARIA
,SUCRE,SAMPUÉS,Domingo,03:00:00 PM,LA INDUSTRIA,URBANA,CASAS DE HABITACION,CONTUNDENTES,76,MASCULINO,CASADO,EMPLEADO PARTICULAR,SECUNDARIA
,CAQUETÁ,FLORENCIA (CT),Miércoles,06:00:00 AM,VILLA COLOMBIA,URBANA,CASAS DE HABITACION,CONTUNDENTES,51,FEMENINO,UNION LIBRE,AMA DE CASA,PRIMARIA
06/07/2010 00:00:00,ANTIOQUIA,MEDELLÍN (CT),Lunes,01:00:00 AM,LAURELES C-11,URBANA,DISCOTECAS,CONTUNDENTES,25,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,SUPERIOR
,CASANARE,AGUAZUL,Miércoles,08:00:00 AM,EL PORVENIR,URBANA,VIAS PUBLICAS,CONTUNDENTES,39,FEMENINO,UNION LIBRE,INDEPENDIENTE,PRIMARIA
10/02/2010 00:00:00,GUAJIRA,SAN JUAN DEL CESAR,Sábado,04:00:00 AM,RINCON DE LUNA,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,27,MASCULINO,UNION LIBRE,AMA DE CASA,SECUNDARIA
"04/02/2010 00:00:00,VALLE,TULUÁ,Viernes,07:53:00 AM,El Centro,URBANA,""HOTELES, RESIDENCIAS, Y SIMILARES."",CONTUNDENTES,18,FEMENINO,UNION LIBRE,AMA DE CASA,SECUNDARIA"
07/04/2010 00:00:00,ANTIOQUIA,CHIGORODÓ,Domingo,02:00:00 AM,LOS BALSOS,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,24,FEMENINO,SOLTERO,AMA DE CASA,SECUNDARIA
,META,VILLAVICENCIO (CT),Miércoles,11:00:00 AM,LA ESPERANZA,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,,FEMENINO,UNION LIBRE,AMA DE CASA,SECUNDARIA
,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,01:00:00 AM,EL SALITRE SUBA E-11,URBANA,CASAS DE HABITACION,NO REPORTADO,33,FEMENINO,UNION LIBRE,INDEPENDIENTE,SECUNDARIA
01/03/2010 00:00:00,VALLE,TULUÁ,Domingo,12:00:00 AM,La Inmaculada,URBANA,CASAS DE HABITACION,CONTUNDENTES,,FEMENINO,CASADO,AMA DE CASA,PRIMARIA
