FECHA,DEPARTAMENTO,MuNICIPIO,DIA,HORA,BARRIO,ZONA,CLASE DE SITIO,ARMA EMPLEADA,EDAD,SEXO,ESTADO CIVIL,CLASE DE EMPLEADO,ESCOLARIDAD
01/02/2011 00:00:00,VALLE,CALI (CT),Domingo,09:00:00 PM,PIZAMOS II E21,URBANA,VIAS PUBLICAS,CONTUNDENTES,48,MASCULINO,UNION LIBRE,EMPLEADO PARTICULAR,SECUNDARIA
01/02/2011 00:00:00,VALLE,CALI (CT),Domingo,09:30:00 PM,SUERTE NOVENTA E21,URBANA,CASAS DE HABITACION,CONTUNDENTES,10,FEMENINO,SOLTERO,ESTUDIANTE,PRIMARIA
01/02/2011 00:00:00,VALLE,CALI (CT),Domingo,11:00:00 PM,INV. BRISAS DE COMUNEROS  E15,URBANA,VIAS PUBLICAS,CONTUNDENTES,25,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,SECUNDARIA
01/02/2011 00:00:00,VALLE,GUADALAJARA DE BUGA,Domingo,04:40:00 AM,LA HONDA,URBANA,VIAS PUBLICAS,CONTUNDENTES,26,FEMENINO,SOLTERO,INDEPENDIENTE,SECUNDARIA
01/02/2011 00:00:00,VALLE,GUADALAJARA DE BUGA,Domingo,10:00:00 AM,SANTA BARBARA,URBANA,VIAS PUBLICAS,CONTUNDENTES,45,FEMENINO,CASADO,INDEPENDIENTE,SECUNDARIA
01/02/2011 00:00:00,VALLE,GUADALAJARA DE BUGA,Domingo,06:30:00 PM,SANTA BARBARA,URBANA,PLAZAS DE MERCADO,CONTUNDENTES,30,FEMENINO,SOLTERO,INDEPENDIENTE,SECUNDARIA
01/02/2011 00:00:00,VALLE,PALMIRA,Domingo,05:30:00 PM,-,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,34,FEMENINO,UNION LIBRE,AMA DE CASA,PRIMARIA
01/03/2011 00:00:00,AMAZONAS,LETICIA (CT),Lunes,04:00:00 PM,PORVENIR,URBANA,CASAS DE HABITACION,CONTUNDENTES,30,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,SECUNDARIA
01/03/2011 00:00:00,ANTIOQUIA,URRAO,Lunes,04:40:00 PM,-,URBANA,VIAS PUBLICAS,CONTUNDENTES,17,FEMENINO,UNION LIBRE,AMA DE CASA,SECUNDARIA
01/03/2011 00:00:00,CALDAS,MANIZALES (CT),Lunes,03:00:00 PM,CERVANTES,URBANA,CASAS DE HABITACION,CONTUNDENTES,21,FEMENINO,UNION LIBRE,AMA DE CASA,SECUNDARIA
01/03/2011 00:00:00,CALDAS,MANIZALES (CT),Lunes,06:00:00 PM,SAMARIA,URBANA,CASAS DE HABITACION,CONTUNDENTES,6,MASCULINO,SOLTERO,ESTUDIANTE,PRIMARIA
01/03/2011 00:00:00,CALDAS,MANIZALES (CT),Lunes,06:00:00 PM,SAMARIA,URBANA,CASAS DE HABITACION,CONTUNDENTES,9,MASCULINO,SOLTERO,ESTUDIANTE,PRIMARIA
01/03/2011 00:00:00,CALDAS,NEIRA,Lunes,09:30:00 PM,-,URBANA,CASAS DE HABITACION,CONTUNDENTES,61,FEMENINO,CASADO,AMA DE CASA,SECUNDARIA
01/03/2011 00:00:00,CESAR,LA PAZ,Lunes,09:00:00 PM,-,URBANA,FINCAS Y SIMILARES,CONTUNDENTES,31,FEMENINO,UNION LIBRE,AMA DE CASA,PRIMARIA
01/03/2011 00:00:00,HUILA,NEIVA (CT),Lunes,12:00:00 AM,SAN ANTONIO,URBANA,VIAS PUBLICAS,CONTUNDENTES,43,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,PRIMARIA
01/03/2011 00:00:00,HUILA,NEIVA (CT),Lunes,12:00:00 AM,VENTILADOR,URBANA,VIAS PUBLICAS,CORTANTES,18,FEMENINO,SOLTERO,INDEPENDIENTE,PRIMARIA
01/03/2011 00:00:00,HUILA,NEIVA (CT),Lunes,05:15:00 PM,LA TOMA,URBANA,VIAS PUBLICAS,CONTUNDENTES,21,FEMENINO,SOLTERO,DESEMPLEADO,SECUNDARIA
01/03/2011 00:00:00,HUILA,NEIVA (CT),Lunes,05:15:00 PM,LA TOMA,URBANA,VIAS PUBLICAS,CONTUNDENTES,33,FEMENINO,UNION LIBRE,AMA DE CASA,SUPERIOR
